日付,走行距離,運行時間,消費電力量
2026-01-02,77.5,2.42,69.1
2026-01-04,148.7,4.65,136.2
2026-01-06,149.9,4.68,137.2
2026-01-08,110.7,3.46,97.9
2026-01-10,71.3,2.23,65.4
2026-01-12,148.5,4.64,131.3
2026-02-02,147.4,4.61,135.4
2026-02-04,144.6,4.52,129.6
2026-02-06,74.9,2.34,65.6
2026-02-08,149.7,4.68,134.8
2026-02-10,108.4,3.39,95.9
2026-07-02,72.0,2.25,54.3
2026-07-04,150.0,4.69,114.6
2026-07-06,75.5,2.36,56.3
2026-07-08,145.2,4.54,108.0
2026-07-10,109.3,3.42,84.6
2026-07-12,106.6,3.33,83.5
2026-08-02,74.0,2.31,55.1
2026-08-04,144.8,4.53,113.3
2026-08-06,107.7,3.37,82.3
2026-08-08,77.4,2.42,60.2
2026-08-10,76.2,2.38,56.4
